p	invchi	df	pinvchi	
0.9995	31.4198	10	.999500
.0005	30.3405	60	.500006E-3
0.9995	102.695	60	.999500
.0005	35.3068	67	.500010E-3
0.9995	111.736	67	.999500
.0005	59.8957	100	.500007E-3
0.9995	153.167	100	.999500
.0005	80.2107	126	.499994E-3
0.9995	184.860	126	.999500
.0005	492.521	600	.500022E-3
0.9995	720.576	600	.999500
.0005	524.244	635	.499975E-3
0.9995	758.853	635	.999500
.0005	859.362	1000	.500022E-3
0.9995	1153.74	1000	.999500
.0005	1360.15	1536	.500153E-3
0.9995	1724.96	1536	.999500
.0005	5646.08	6000	.500009E-3
0.9995	6367.02	6000	.999500
.0005	6489.86	6869	.500009E-3
0.9995	7261.24	6869	.999500
.0005	9541.19	10000	.499989E-3
0.9995	10471.9	10000	.999500
.0005	12516.1	13041	.499713E-3
0.9995	13579.0	13041	.999500
.0005	58866.7	60000	.500126E-3
0.9995	61146.4	60000	.999500
.0005	59651.2	60792	.500117E-3
0.9995	61945.9	60792	.999500
.000486651	.372010E-6	1	.486651E-3
0.999513349	12.1661	1	.999513
.000486651	.296616	6	.486649E-3
0.999513349	24.1666	6	.999513
.000486651	1.25737	10	.486653E-3
0.999513349	31.4907	10	.999513
.000486651	2.68428	14	.486655E-3
0.999513349	38.1861	14	.999513
.000486651	30.2883	60	.486660E-3
0.999513349	102.813	60	.999513
.000486651	32.4011	63	.486658E-3
0.999513349	106.704	63	.999513
.000486651	59.8198	100	.486654E-3
0.999513349	153.309	100	.999513
.000486651	96.1284	146	.486646E-3
0.999513349	209.014	146	.999513
.000486651	492.290	600	.486656E-3
0.999513349	720.873	600	.999513
.000486651	566.736	682	.486667E-3
0.999513349	810.429	682	.999513
.000486651	859.054	1000	.486639E-3
0.999513349	1154.11	1000	.999513
.000486651	880.368	1023	.486646E-3
0.999513349	1178.80	1023	.999513
.000486651	5645.28	6000	.486659E-3
0.999513349	6367.89	6000	.999513
.000486651	6522.05	6903	.486717E-3
0.999513349	7297.12	6903	.999513
.000486651	9540.15	10000	.486670E-3
0.999513349	10473.0	10000	.999513
.000486651	11472.1	11976	.486162E-3
0.999513349	12493.0	11976	.999513
.000486651	58864.1	60000	.486781E-3
0.999513349	61149.1	60000	.999513
.000486651	65138.3	66333	.486694E-3
0.999513349	67540.9	66333	.999513
.0004	.251327E-6	1	.400000E-3
0.9996	12.5322	1	.999600
.0004	.277180	6	.400000E-3
0.9996	24.6284	6	.999600
.0004	1.20370	10	.399997E-3
0.9996	32.0028	10	.999600
.0004	1.51556	11	.399995E-3
0.9996	33.7323	11	.999600
.0004	29.9149	60	.400000E-3
0.9996	103.667	60	.999600
.0004	31.3115	62	.400001E-3
0.9996	106.273	62	.999600
.0004	59.2764	100	.399994E-3
0.9996	154.335	100	.999600
.0004	106.748	160	.399998E-3
0.9996	226.880	160	.999600
.0004	490.634	600	.400005E-3
0.9996	723.014	600	.999600
.0004	548.599	664	.399996E-3
0.9996	793.049	664	.999600
.0004	856.848	1000	.399986E-3
0.9996	1156.80	1000	.999600
.0004	1642.46	1839	.399874E-3
0.9996	2049.19	1839	.999600
.0004	5639.53	6000	.399967E-3
0.9996	6374.12	6000	.999600
.0004	6456.61	6842	.400022E-3
0.9996	7241.05	6842	.999600
.0004	9532.66	10000	.400007E-3
0.9996	10481.0	10000	.999600
.0004	11065.8	11569	.399831E-3
0.9996	12085.8	11569	.999600
.0004	58845.4	60000	.400082E-3
0.9996	61168.3	60000	.999600
.0004	60959.9	62135	.400011E-3
0.9996	63323.8	62135	.999600
.000367449	.212087E-6	1	.367449E-3
0.999632551	12.6909	1	.999633
.000367449	.269180	6	.367449E-3
0.999632551	24.8278	6	.999633
.000367449	1.18126	10	.367446E-3
0.999632551	32.2238	10	.999633
.000367449	3.37212	16	.367446E-3
0.999632551	42.2074	16	.999633
.000367449	29.7559	60	.367447E-3
0.999632551	104.034	60	.999633
.000367449	32.5505	64	.367454E-3
0.999632551	109.244	64	.999633
.000367449	59.0447	100	.367452E-3
0.999632551	154.775	100	.999633
.000367449	103.188	156	.367455E-3
0.999632551	222.648	156	.999633
.000367449	489.925	600	.367428E-3
0.999632551	723.932	600	.999633
.000367449	497.149	608	.367462E-3
0.999632551	732.709	608	.999633
.000367449	855.904	1000	.367438E-3
0.999632551	1157.96	1000	.999633
.000367449	1209.53	1380	.367517E-3
0.999632551	1564.33	1380	.999632
.000367449	5637.07	6000	.367436E-3
0.999632551	6376.79	6000	.999633
.000367449	6339.39	6724	.367411E-3
0.999632551	7122.47	6724	.999633
.000367449	9529.45	10000	.367435E-3
0.999632551	10484.4	10000	.999632
.000367449	14528.0	15108	.367106E-3
0.999632551	15701.8	15108	.999632
.000367449	58837.4	60000	.367560E-3
0.999632551	61176.5	60000	.999633
.000367449	66710.3	67948	.367388E-3
0.999632551	69199.5	67948	.999632
.0003	.141372E-6	1	.300000E-3
0.9997	13.0704	1	.999700
.0003	.251018	6	.300000E-3
0.9997	25.3033	6	.999700
.0003	1.12950	10	.300005E-3
0.9997	32.7502	10	.999700
.0003	4.13187	18	.300002E-3
0.9997	45.9668	18	.999700
.0003	29.3823	60	.300006E-3
0.9997	104.906	60	.999700
.0003	30.0724	61	.299996E-3
0.9997	106.217	61	.999700
.0003	58.4990	100	.299995E-3
0.9997	155.821	100	.999700
.0003	110.542	166	.300018E-3
0.9997	235.797	166	.999700
.0003	488.253	600	.300011E-3
0.9997	726.107	600	.999700
.0003	537.021	654	.299995E-3
0.9997	785.340	654	.999700
.0003	853.674	1000	.299990E-3
0.9997	1160.69	1000	.999700
.0003	1533.41	1728	.299904E-3
0.9997	1936.95	1728	.999700
.0003	5631.25	6000	.299974E-3
0.9997	6383.11	6000	.999700
.0003	6068.38	6451	.299991E-3
0.9997	6847.99	6451	.999700
.0003	9521.87	10000	.300022E-3
0.9997	10492.5	10000	.999700
.0003	17762.6	18414	.299845E-3
0.9997	19079.7	18414	.999700
.0003	58818.4	60000	.299895E-3
0.9997	61195.9	60000	.999700
.0003	66482.1	67738	.299992E-3
0.9997	69008.3	67738	.999700
.000275839	.119517E-6	1	.275839E-3
0.999724161	13.2277	1	.999724
.000275839	.243873	6	.275838E-3
0.999724161	25.4998	6	.999724
.000275839	1.10880	10	.275840E-3
0.999724161	32.9674	10	.999724
.000275839	2.07161	13	.275837E-3
0.999724161	38.1211	13	.999724
.000275839	29.2301	60	.275844E-3
0.999724161	105.264	60	.999724
.000275839	34.8023	68	.275834E-3
0.999724161	115.702	68	.999724
.000275839	58.2764	100	.275839E-3
0.999724161	156.251	100	.999724
.000275839	106.989	162	.275824E-3
0.999724161	231.557	162	.999724
.000275839	487.568	600	.275834E-3
0.999724161	727.000	600	.999724
.000275839	542.636	661	.275853E-3
0.999724161	793.934	661	.999724
.000275839	852.761	1000	.275829E-3
0.999724161	1161.81	1000	.999724
.000275839	1261.87	1440	.275780E-3
0.999724161	1632.70	1440	.999724
.000275839	5628.87	6000	.275854E-3
0.999724161	6385.71	6000	.999724
.000275839	5845.87	6224	.275838E-3
0.999724161	6616.71	6224	.999724
.000275839	9518.76	10000	.275841E-3
0.999724161	10495.8	10000	.999724
.000275839	11920.0	12458	.275718E-3
0.999724161	13010.6	12458	.999724
.000275839	58810.7	60000	.275927E-3
0.999724161	61203.9	60000	.999724
.000275839	63721.2	64959	.275833E-3
0.999724161	66211.4	64959	.999724
.0002	.628319E-7	1	.200000E-3
0.9998	13.8311	1	.999800
.0002	.218397	6	.199999E-3
0.9998	26.2499	6	.999800
.0002	1.03331	10	.199996E-3
0.9998	33.7958	10	.999800
.0002	3.07511	16	.199999E-3
0.9998	43.9605	16	.999800
.0002	28.6603	60	.200003E-3
0.9998	106.626	60	.999800
.0002	28.6603	60	.200003E-3
0.9998	106.626	60	.999800
.0002	57.4409	100	.200003E-3
0.9998	157.882	100	.999800
.0002	67.2987	113	.200002E-3
0.9998	174.030	113	.999800
.0002	484.989	600	.200010E-3
0.9998	730.379	600	.999800
.0002	490.377	606	.199992E-3
0.9998	736.990	606	.999800
.0002	849.319	1000	.199993E-3
0.9998	1166.05	1000	.999800
.0002	1519.08	1719	.200021E-3
0.9998	1934.29	1719	.999800
.0002	5619.87	6000	.199992E-3
0.9998	6395.50	6000	.999800
.0002	6443.31	6850	.199980E-3
0.9998	7272.06	6850	.999800
.0002	9507.03	10000	.200005E-3
0.9998	10508.3	10000	.999800
.0002	19033.5	19729	.200104E-3
0.9998	20439.9	19729	.999800
.0002	58781.4	60000	.200087E-3
0.9998	61234.0	60000	.999800
.0002	65299.8	66584	.199941E-3
0.9998	67883.5	66584	.999800
.000158187	.393062E-7	1	.158187E-3
0.999841813	14.2722	1	.999842
.000158187	.201551	6	.158187E-3
0.999841813	26.7950	6	.999842
.000158187	.981791	10	.158187E-3
0.999841813	34.3967	10	.999842
.000158187	4.21231	19	.158188E-3
0.999841813	49.4435	19	.999842
.000158187	28.2570	60	.158184E-3
0.999841813	107.608	60	.999842
.000158187	30.2906	63	.158183E-3
0.999841813	111.579	63	.999842
.000158187	56.8476	100	.158188E-3
0.999841813	159.056	100	.999842
.000158187	101.007	157	.158169E-3
0.999841813	228.917	157	.999842
.000158187	483.147	600	.158193E-3
0.999841813	732.805	600	.999842
.000158187	540.665	664	.158181E-3
0.999841813	803.287	664	.999842
.000158187	846.860	1000	.158190E-3
0.999841813	1169.10	1000	.999842
.000158187	1739.62	1957	.158152E-3
0.999841813	2190.33	1957	.999842
.000158187	5613.43	6000	.158172E-3
0.999841813	6402.53	6000	.999842
.000158187	6511.05	6927	.158180E-3
0.999841813	7358.91	6927	.999842
.000158187	9498.63	10000	.158174E-3
0.999841813	10517.3	10000	.999842
.000158187	13747.8	14350	.158070E-3
0.999841813	14968.1	14350	.999842
.000158187	58760.4	60000	.158233E-3
0.999841813	61255.6	60000	.999842
.000158187	64572.7	65872	.158102E-3
0.999841813	67187.2	65872	.999842
.0001	.157080E-7	1	.100000E-3
0.9999	15.1367	1	.999900
.0001	.172352	6	.999998E-4
0.9999	27.8563	6	.999900
.0001	.888920	10	.999998E-4
0.9999	35.5640	10	.999900
.0001	3.55517	18	.100001E-3
0.9999	49.1894	18	.999900
.0001	27.4969	60	.100000E-3
0.9999	109.503	60	.999900
.0001	30.1729	64	.100000E-3
0.9999	114.834	64	.999900
.0001	55.7246	100	.100000E-3
0.9999	161.319	100	.999900
.0001	77.6152	129	.100001E-3
0.9999	197.443	129	.999900
.0001	479.636	600	.999935E-4
0.9999	737.461	600	.999900
.0001	554.920	684	.100006E-3
0.9999	830.179	684	.999900
.0001	842.168	1000	.999985E-4
0.9999	1174.93	1000	.999900
.0001	1443.93	1649	.100027E-3
0.9999	1871.18	1649	.999900
.0001	5601.13	6000	.100000E-3
0.9999	6415.98	6000	.999900
.0001	6469.71	6898	.100009E-3
0.9999	7343.40	6898	.999900
.0001	9482.59	10000	.100013E-3
0.9999	10534.5	10000	.999900
.0001	15290.4	15946	.100037E-3
0.9999	16618.7	15946	.999900
.0001	58720.2	60000	.999528E-4
0.9999	61296.9	60000	.999900
.0001	62572.1	63893	.999966E-4
0.9999	65231.0	63893	.999900
.0000938922	.138477E-7	1	.938921E-4
0.9999061078	15.2557	1	.999906
.0000938922	.168692	6	.938917E-4
0.9999061078	28.0017	6	.999906
.0000938922	.876918	10	.938921E-4
0.9999061078	35.7237	10	.999906
.0000938922	2.03967	14	.938910E-4
0.9999061078	42.7509	14	.999906
.0000938922	27.3952	60	.938907E-4
0.9999061078	109.761	60	.999906
.0000938922	28.0589	61	.938925E-4
0.9999061078	111.099	61	.999906
.0000938922	55.5739	100	.938908E-4
0.9999061078	161.626	100	.999906
.0000938922	64.5097	112	.938918E-4
0.9999061078	176.697	112	.999906
.0000938922	479.163	600	.938906E-4
0.9999061078	738.092	600	.999906
.0000938922	520.299	646	.938978E-4
0.9999061078	788.957	646	.999906
.0000938922	841.535	1000	.938919E-4
0.9999061078	1175.72	1000	.999906
.0000938922	1483.31	1692	.938652E-4
0.9999061078	1917.95	1692	.999906
.0000938922	5599.47	6000	.939009E-4
0.9999061078	6417.80	6000	.999906
.0000938922	6558.94	6992	.938903E-4
0.9999061078	7442.32	6992	.999906
.0000938922	9480.42	10000	.939014E-4
0.9999061078	10536.8	10000	.999906
.0000938922	16573.7	17259	.938754E-4
0.9999061078	17961.6	17259	.999906
.0000938922	58714.8	60000	.938760E-4
0.9999061078	61302.5	60000	.999906
.0000938922	68415.1	69802	.938631E-4
0.9999061078	71206.1	69802	.999906
.00009	.127235E-7	1	.900002E-4
0.99991	15.3357	1	.999910
.00009	.166278	6	.899994E-4
0.99991	28.0993	6	.999910
.00009	.868954	10	.900002E-4
0.99991	35.8308	10	.999910
.00009	2.73127	16	.899993E-4
0.99991	46.2207	16	.999910
.00009	27.3273	60	.900005E-4
0.99991	109.934	60	.999910
.00009	32.0209	67	.900004E-4
0.99991	119.252	67	.999910
.00009	55.4732	100	.900000E-4
0.99991	161.832	100	.999910
.00009	83.4835	137	.899989E-4
0.99991	207.840	137	.999910
.00009	478.846	600	.899962E-4
0.99991	738.515	600	.999910
.00009	485.985	608	.900022E-4
0.99991	747.376	608	.999910
.00009	841.111	1000	.899978E-4
0.99991	1176.25	1000	.999910
.00009	885.140	1048	.900010E-4
0.99991	1228.23	1048	.999910
.00009	5598.35	6000	.899845E-4
0.99991	6419.02	6000	.999910
.00009	5624.43	6027	.899916E-4
0.99991	6446.94	6027	.999910
.00009	9478.96	10000	.899882E-4
0.99991	10538.4	10000	.999910
.00009	14869.8	15521	.901031E-4
0.99991	16189.6	15521	.999910
.00009	58711.2	60000	.900194E-4
0.99991	61306.2	60000	.999910
.00009	68470.6	69862	.899957E-4
0.99991	71270.8	69862	.999910
.0000835562	.109667E-7	1	.835561E-4
0.9999164438	15.4761	1	.999916
.0000835562	.162128	6	.835569E-4
0.9999164438	28.2705	6	.999916
.0000835562	.855165	10	.835560E-4
0.9999164438	36.0187	10	.999916
.0000835562	1.68019	13	.835557E-4
0.9999164438	41.3512	13	.999916
.0000835562	27.2088	60	.835568E-4
0.9999164438	110.236	60	.999916
.0000835562	32.5701	68	.835558E-4
0.9999164438	120.888	68	.999916
.0000835562	55.2974	100	.835575E-4
0.9999164438	162.193	100	.999916
.0000835562	64.9598	113	.835552E-4
0.9999164438	178.539	113	.999916
.0000835562	478.293	600	.835599E-4
0.9999164438	739.255	600	.999916
.0000835562	512.230	638	.835576E-4
0.9999164438	781.318	638	.999916
.0000835562	840.371	1000	.835600E-4
0.9999164438	1177.18	1000	.999916
.0000835562	1572.57	1789	.835624E-4
0.9999164438	2022.99	1789	.999916
.0000835562	5596.41	6000	.835605E-4
0.9999164438	6421.15	6000	.999916
.0000835562	5687.19	6094	.835517E-4
0.9999164438	6518.37	6094	.999916
.0000835562	9476.43	10000	.835669E-4
0.9999164438	10541.1	10000	.999916
.0000835562	16867.3	17564	.836160E-4
0.9999164438	18278.3	17564	.999916
.0000835562	58704.8	60000	.835282E-4
0.9999164438	61312.7	60000	.999916
.0000835562	63866.3	65217	.835360E-4
0.9999164438	66585.2	65217	.999916
.00008	.100531E-7	1	.800000E-4
0.99992	15.5583	1	.999920
.00008	.159747	6	.800005E-4
0.99992	28.3706	6	.999920
.00008	.847202	10	.799998E-4
0.99992	36.1285	10	.999920
.00008	1.09561	11	.799984E-4
0.99992	37.9426	11	.999920
.00008	27.1398	60	.799988E-4
0.99992	110.413	60	.999920
.00008	32.4938	68	.800006E-4
0.99992	121.073	68	.999920
.00008	55.1950	100	.800013E-4
0.99992	162.404	100	.999920
.00008	129.111	195	.800063E-4
0.99992	278.522	195	.999920
.00008	477.970	600	.800014E-4
0.99992	739.686	600	.999920
.00008	511.001	637	.799996E-4
0.99992	780.656	637	.999920
.00008	839.939	1000	.800030E-4
0.99992	1177.72	1000	.999920
.00008	1315.05	1514	.800151E-4
0.99992	1730.62	1514	.999920
.00008	5595.27	6000	.799889E-4
0.99992	6422.39	6000	.999920
.00008	5711.16	6120	.800028E-4
0.99992	6546.51	6120	.999920
.00008	9474.94	10000	.799891E-4
0.99992	10542.7	10000	.999920
.00008	17969.9	18691	.799301E-4
0.99992	19429.7	18691	.999920
.00008	58701.1	60000	.799789E-4
0.99992	61316.5	60000	.999920
.00008	67029.4	68417	.799931E-4
0.99992	69822.3	68417	.999920
.0000720022	.814351E-8	1	.720022E-4
0.9999279978	15.7575	1	.999928
.0000720022	.154127	6	.720016E-4
0.9999279978	28.6130	6	.999928
.0000720022	.828246	10	.720022E-4
0.9999279978	36.3943	10	.999928
.0000720022	2.64343	16	.720013E-4
0.9999279978	46.8447	16	.999928
.0000720022	26.9740	60	.720001E-4
0.9999279978	110.840	60	.999928
.0000720022	32.9883	69	.720005E-4
0.9999279978	122.841	69	.999928
.0000720022	54.9486	100	.720024E-4
0.9999279978	162.913	100	.999928
.0000720022	129.528	196	.719933E-4
0.9999279978	280.368	196	.999928
.0000720022	477.192	600	.720007E-4
0.9999279978	740.728	600	.999928
.0000720022	521.819	650	.719982E-4
0.9999279978	796.102	650	.999928
.0000720022	838.898	1000	.720037E-4
0.9999279978	1179.03	1000	.999928
.0000720022	970.154	1143	.720009E-4
0.9999279978	1333.77	1143	.999928
.0000720022	5592.54	6000	.720092E-4
0.9999279978	6425.39	6000	.999928
.0000720022	5879.36	6297	.720109E-4
0.9999279978	6732.57	6297	.999928
.0000720022	9471.37	10000	.719929E-4
0.9999279978	10546.6	10000	.999928
.0000720022	14637.2	15293	.720643E-4
0.9999279978	15966.8	15293	.999928
.0000720022	58692.2	60000	.720133E-4
0.9999279978	61325.7	60000	.999928
.0000720022	67292.0	68692	.719750E-4
0.9999279978	70109.9	68692	.999928
.00007	.769690E-8	1	.700000E-4
0.99993	15.8108	1	.999930
.00007	.152657	6	.699995E-4
0.99993	28.6778	6	.999930
.00007	.823248	10	.699999E-4
0.99993	36.4653	10	.999930
.00007	3.00299	17	.700006E-4
0.99993	48.5793	17	.999930
.00007	26.9300	60	.700020E-4
0.99993	110.954	60	.999930
.00007	31.5863	67	.700001E-4
0.99993	120.311	67	.999930
.00007	54.8830	100	.699995E-4
0.99993	163.049	100	.999930
.00007	76.6061	129	.699992E-4
0.99993	199.342	129	.999930
.00007	476.985	600	.700011E-4
0.99993	741.006	600	.999930
.00007	528.761	658	.700041E-4
0.99993	805.232	658	.999930
.00007	838.620	1000	.699975E-4
0.99993	1179.38	1000	.999930
.00007	918.370	1087	.700020E-4
0.99993	1273.63	1087	.999930
.00007	5591.81	6000	.700056E-4
0.99993	6426.19	6000	.999930
.00007	5968.46	6390	.699883E-4
0.99993	6829.54	6390	.999930
.00007	9470.42	10000	.699952E-4
0.99993	10547.6	10000	.999930
.00007	10655.6	11217	.700135E-4
0.99993	11796.4	11217	.999930
.00007	58689.8	60000	.699967E-4
0.99993	61328.2	60000	.999930
.00007	64594.7	65969	.699673E-4
0.99993	67361.3	65969	.999930
.000068269	.732094E-8	1	.682690E-4
0.999931731	15.8582	1	.999932
.000068269	.151364	6	.682688E-4
0.999931731	28.7353	6	.999932
.000068269	.818838	10	.682691E-4
0.999931731	36.5284	10	.999932
.000068269	2.27052	15	.682689E-4
0.999931731	45.3155	15	.999932
.000068269	26.8909	60	.682685E-4
0.999931731	111.056	60	.999932
.000068269	28.8694	63	.682706E-4
0.999931731	115.083	63	.999932
.000068269	54.8249	100	.682682E-4
0.999931731	163.169	100	.999932
.000068269	124.493	190	.682618E-4
0.999931731	273.535	190	.999932
.000068269	476.801	600	.682673E-4
0.999931731	741.253	600	.999932
.000068269	536.624	667	.682661E-4
0.999931731	815.431	667	.999932
.000068269	838.374	1000	.682658E-4
0.999931731	1179.68	1000	.999932
.000068269	1566.07	1785	.682616E-4
0.999931731	2021.99	1785	.999932
.000068269	5591.16	6000	.682658E-4
0.999931731	6426.90	6000	.999932
.000068269	6486.08	6926	.682782E-4
0.999931731	7383.99	6926	.999932
.000068269	9469.58	10000	.682723E-4
0.999931731	10548.5	10000	.999932
.000068269	17168.7	17881	.682860E-4
0.999931731	18611.4	17881	.999932
.000068269	58687.7	60000	.682758E-4
0.999931731	61330.4	60000	.999932
.000068269	62304.0	63656	.682450E-4
0.999931731	65026.0	63656	.999932
.00006	.565487E-8	1	.600000E-4
0.99994	16.1027	1	.999940
.00006	.144871	6	.600001E-4
0.99994	29.0318	6	.999940
.00006	.796495	10	.600001E-4
0.99994	36.8532	10	.999940
.00006	2.22602	15	.599995E-4
0.99994	45.6695	15	.999940
.00006	26.6911	60	.599994E-4
0.99994	111.576	60	.999940
.00006	28.6614	63	.600014E-4
0.99994	115.612	63	.999940
.00006	54.5274	100	.599996E-4
0.99994	163.789	100	.999940
.00006	113.632	177	.600062E-4
0.99994	258.717	177	.999940
.00006	475.859	600	.600005E-4
0.99994	742.519	600	.999940
.00006	541.888	674	.600014E-4
0.99994	824.492	674	.999940
.00006	837.113	1000	.600006E-4
0.99994	1181.27	1000	.999940
.00006	1417.67	1628	.600036E-4
0.99994	1856.72	1628	.999940
.00006	5587.84	6000	.599951E-4
0.99994	6430.55	6000	.999940
.00006	5826.26	6247	.600046E-4
0.99994	6686.13	6247	.999940
.00006	9465.25	10000	.600057E-4
0.99994	10553.1	10000	.999940
.00006	17417.6	18141	.600347E-4
0.99994	18882.8	18141	.999940
.00006	58676.8	60000	.599654E-4
0.99994	61341.5	60000	.999940
.00006	58830.1	60155	.599796E-4
0.99994	61498.3	60155	.999940
.0000541589	.460744E-8	1	.541589E-4
0.9999458411	16.2967	1	.999946
.0000541589	.139922	6	.541588E-4
0.9999458411	29.2667	6	.999946
.0000541589	.779234	10	.541589E-4
0.9999458411	37.1104	10	.999946
.0000541589	1.86535	14	.541583E-4
0.9999458411	44.2396	14	.999946
.0000541589	26.5344	60	.541584E-4
0.9999458411	111.987	60	.999946
.0000541589	29.1582	64	.541599E-4
0.9999458411	117.372	64	.999946
.0000541589	54.2938	100	.541599E-4
0.9999458411	164.279	100	.999946
.0000541589	91.2713	149	.541582E-4
0.9999458411	225.326	149	.999946
.0000541589	475.117	600	.541566E-4
0.9999458411	743.518	600	.999946
.0000541589	503.591	632	.541618E-4
0.9999458411	779.045	632	.999946
.0000541589	836.120	1000	.541610E-4
0.9999458411	1182.52	1000	.999946
.0000541589	1064.77	1249	.541517E-4
0.9999458411	1451.87	1249	.999946
.0000541589	5585.23	6000	.541644E-4
0.9999458411	6433.42	6000	.999946
.0000541589	6015.75	6446	.541590E-4
0.9999458411	6894.90	6446	.999946
.0000541589	9461.83	10000	.541519E-4
0.9999458411	10556.8	10000	.999946
.0000541589	13274.6	13911	.541643E-4
0.9999458411	14566.1	13911	.999946
.0000541589	58668.3	60000	.541562E-4
0.9999458411	61350.3	60000	.999946
.0000541589	67713.7	69144	.541335E-4
0.9999458411	70592.9	69144	.999946
.00005	.392699E-8	1	.500000E-4
0.99995	16.4481	1	.999950
.00005	.136181	6	.499997E-4
0.99995	29.4497	6	.999950
.00005	.766047	10	.500001E-4
0.99995	37.3107	10	.999950
.00005	3.24126	18	.499999E-4
0.99995	51.1775	18	.999950
.00005	26.4133	60	.500016E-4
0.99995	112.307	60	.999950
.00005	29.6913	65	.500009E-4
0.99995	119.039	65	.999950
.00005	54.1129	100	.499999E-4
0.99995	164.659	100	.999950
.00005	68.8902	120	.499995E-4
0.99995	189.895	120	.999950
.00005	474.542	600	.499982E-4
0.99995	744.294	600	.999950
.00005	555.690	691	.499977E-4
0.99995	845.147	691	.999950
.00005	835.349	1000	.499983E-4
0.99995	1183.49	1000	.999950
.00005	1009.55	1190	.500208E-4
0.99995	1389.30	1190	.999950
.00005	5583.20	6000	.500025E-4
0.99995	6435.65	6000	.999950
.00005	5754.92	6178	.499931E-4
0.99995	6619.92	6178	.999950
.00005	9459.19	10000	.500054E-4
0.99995	10559.7	10000	.999950
.00005	16809.0	17528	.500449E-4
0.99995	18265.9	17528	.999950
.00005	58661.7	60000	.500159E-4
0.99995	61357.2	60000	.999950
.00005	67163.4	68595	.500158E-4
0.99995	70045.5	68595	.999950
.000044635	.312947E-8	1	.446350E-4
0.999955365	16.6634	1	.999955
.000044635	.131041	6	.446348E-4
0.999955365	29.7095	6	.999955
.000044635	.747720	10	.446349E-4
0.999955365	37.5948	10	.999955
.000044635	3.19306	18	.446348E-4
0.999955365	51.5001	18	.999955
.000044635	26.2427	60	.446341E-4
0.999955365	112.760	60	.999955
.000044635	31.5000	68	.446360E-4
0.999955365	123.518	68	.999955
.000044635	53.8581	100	.446352E-4
0.999955365	165.198	100	.999955
.000044635	124.582	192	.446298E-4
0.999955365	278.511	192	.999955
.000044635	473.731	600	.446376E-4
0.999955365	745.391	600	.999955
.000044635	504.831	635	.446329E-4
0.999955365	784.291	635	.999955
.000044635	834.262	1000	.446362E-4
0.999955365	1184.87	1000	.999955
.000044635	1713.89	1949	.446415E-4
0.999955365	2203.24	1949	.999955
.000044635	5580.33	6000	.446293E-4
0.999955365	6438.80	6000	.999955
.000044635	5906.41	6338	.446340E-4
0.999955365	6788.72	6338	.999955
.000044635	9455.45	10000	.446404E-4
0.999955365	10563.7	10000	.999955
.000044635	16160.8	16871	.445916E-4
0.999955365	17600.3	16871	.999955
.000044635	58652.3	60000	.446316E-4
0.999955365	61366.8	60000	.999955
.000044635	67107.8	68549	.446183E-4
0.999955365	70009.3	68549	.999955
.00004	.251327E-8	1	.400000E-4
0.99996	16.8714	1	.999960
.00004	.126263	6	.399997E-4
0.99996	29.9602	6	.999960
.00004	.730461	10	.399999E-4
0.99996	37.8688	10	.999960
.00004	1.77657	14	.399999E-4
0.99996	45.0526	14	.999960
.00004	26.0798	60	.400007E-4
0.99996	113.196	60	.999960
.00004	29.9938	66	.399994E-4
0.99996	121.294	66	.999960
.00004	53.6143	100	.400006E-4
0.99996	165.716	100	.999960
.00004	71.3158	124	.399995E-4
0.99996	196.030	124	.999960
.00004	472.952	600	.399985E-4
0.99996	746.445	600	.999960
.00004	476.498	604	.400002E-4
0.99996	750.900	604	.999960
.00004	833.219	1000	.400018E-4
0.99996	1186.18	1000	.999960
.00004	1195.36	1394	.399957E-4
0.99996	1612.04	1394	.999960
.00004	5577.58	6000	.399948E-4
0.99996	6441.83	6000	.999960
.00004	6179.67	6624	.399969E-4
0.99996	7087.74	6624	.999960
.00004	9451.86	10000	.400047E-4
0.99996	10567.6	10000	.999960
.00004	13569.4	14225	.400245E-4
0.99996	14900.0	14225	.999960
.00004	58643.3	60000	.399930E-4
0.99996	61376.1	60000	.999960
.00004	66197.9	67639	.399822E-4
0.99996	69099.5	67639	.999960
.0000397915	.248714E-8	1	.397915E-4
0.9999602085	16.8813	1	.999960
.0000397915	.126040	6	.397914E-4
0.9999602085	29.9721	6	.999960
.0000397915	.729649	10	.397914E-4
0.9999602085	37.8819	10	.999960
.0000397915	.729649	10	.397914E-4
0.9999602085	37.8819	10	.999960
.0000397915	26.0720	60	.397902E-4
0.9999602085	113.217	60	.999960
.0000397915	29.3266	65	.397914E-4
0.9999602085	119.973	65	.999960
.0000397915	53.6027	100	.397915E-4
0.9999602085	165.740	100	.999960
.0000397915	84.1989	141	.397910E-4
0.9999602085	217.168	141	.999960
.0000397915	472.915	600	.397898E-4
0.9999602085	746.495	600	.999960
.0000397915	472.915	600	.397898E-4
0.9999602085	746.495	600	.999960
.0000397915	833.169	1000	.397914E-4
0.9999602085	1186.25	1000	.999960
.0000397915	1347.39	1558	.397871E-4
0.9999602085	1788.03	1558	.999960
.0000397915	5577.45	6000	.397874E-4
0.9999602085	6441.97	6000	.999960
.0000397915	6512.86	6969	.397934E-4
0.9999602085	7444.56	6969	.999960
.0000397915	9451.69	10000	.397968E-4
0.9999602085	10567.7	10000	.999960
.0000397915	18143.5	18901	.397478E-4
0.9999602085	19677.9	18901	.999960
