p	invt	df	pinvt
.0004	-3.35382	10000	.400002E-3
0.9996	3.35368	11569	.999600
.0004	-3.35368	11569	.400003E-3
0.9996	3.35297	60000	.999600
.0004	-3.35297	60000	.399994E-3
0.9996	3.35296	62135	.999600
.0004	-3.35296	62135	.400000E-3
0.999632551	866.269	1	.999633
.000367449	-866.269	1	.367449E-3
0.999632551	6.31711	6	.999633
.000367449	-6.31711	6	.367450E-3
0.999632551	4.78972	10	.999633
.000367449	-4.78972	10	.367451E-3
0.999632551	4.16183	16	.999633
.000367449	-4.16183	16	.367451E-3
0.999632551	3.55909	60	.999633
.000367449	-3.55909	60	.367453E-3
0.999632551	3.54715	64	.999633
.000367449	-3.54715	64	.367451E-3
0.999632551	3.48387	100	.999633
.000367449	-3.48387	100	.367450E-3
0.999632551	3.44453	156	.999633
.000367449	-3.44453	156	.367444E-3
0.999632551	3.39374	600	.999633
.000367449	-3.39374	600	.367451E-3
0.999632551	3.39351	608	.999633
.000367449	-3.39351	608	.367449E-3
0.999632551	3.38671	1000	.999633
.000367449	-3.38671	1000	.367452E-3
0.999632551	3.38382	1380	.999633
.000367449	-3.38382	1380	.367444E-3
0.999632551	3.37796	6000	.999633
.000367449	-3.37796	6000	.367452E-3
0.999632551	3.37777	6724	.999633
.000367449	-3.37777	6724	.367455E-3
0.999632551	3.37726	10000	.999633
.000367449	-3.37726	10000	.367455E-3
0.999632551	3.37691	15108	.999633
.000367449	-3.37691	15108	.367449E-3
0.999632551	3.37639	60000	.999633
.000367449	-3.37639	60000	.367452E-3
0.999632551	3.37637	67948	.999633
.000367449	-3.37637	67948	.367451E-3
0.9997	1061.03	1	.999700
.0003	-1061.03	1	.300001E-3
0.9997	6.56193	6	.999700
.0003	-6.56193	6	.299999E-3
0.9997	4.92543	10	.999700
.0003	-4.92543	10	.300000E-3
0.9997	4.15110	18	.999700
.0003	-4.15110	18	.300002E-3
0.9997	3.62340	60	.999700
.0003	-3.62340	60	.300004E-3
0.9997	3.62011	61	.999700
.0003	-3.62011	61	.299998E-3
0.9997	3.54445	100	.999700
.0003	-3.54445	100	.300003E-3
0.9997	3.49880	166	.999700
.0003	-3.49880	166	.300005E-3
0.9997	3.44997	600	.999700
.0003	-3.44997	600	.300000E-3
0.9997	3.44845	654	.999700
.0003	-3.44845	654	.299998E-3
0.9997	3.44261	1000	.999700
.0003	-3.44261	1000	.299996E-3
0.9997	3.43797	1728	.999700
.0003	-3.43797	1728	.299998E-3
0.9997	3.43344	6000	.999700
.0003	-3.43344	6000	.300002E-3
0.9997	3.43331	6451	.999700
.0003	-3.43331	6451	.300005E-3
0.9997	3.43271	10000	.999700
.0003	-3.43271	10000	.300001E-3
0.9997	3.43221	18414	.999700
.0003	-3.43221	18414	.300000E-3
0.9997	3.43180	60000	.999700
.0003	-3.43180	60000	.299997E-3
0.9997	3.43178	67738	.999700
.0003	-3.43178	67738	.299996E-3
0.999724161	1153.97	1	.999724
.000275839	-1153.97	1	.275839E-3
0.999724161	6.66544	6	.999724
.000275839	-6.66544	6	.275839E-3
0.999724161	4.98214	10	.999724
.000275839	-4.98214	10	.275840E-3
0.999724161	4.54347	13	.999724
.000275839	-4.54347	13	.275838E-3
0.999724161	3.64985	60	.999724
.000275839	-3.64985	60	.275842E-3
0.999724161	3.62584	68	.999724
.000275839	-3.62584	68	.275841E-3
0.999724161	3.56934	100	.999724
.000275839	-3.56934	100	.275835E-3
0.999724161	3.52452	162	.999724
.000275839	-3.52452	162	.275839E-3
0.999724161	3.47303	600	.999724
.000275839	-3.47303	600	.275836E-3
0.999724161	3.47129	661	.999724
.000275839	-3.47129	661	.275842E-3
0.999724161	3.46552	1000	.999724
.000275839	-3.46552	1000	.275842E-3
0.999724161	3.46209	1440	.999724
.000275839	-3.46209	1440	.275843E-3
0.999724161	3.45618	6000	.999724
.000275839	-3.45618	6000	.275843E-3
0.999724161	3.45612	6224	.999724
.000275839	-3.45612	6224	.275836E-3
0.999724161	3.45544	10000	.999724
.000275839	-3.45544	10000	.275838E-3
0.999724161	3.45522	12458	.999724
.000275839	-3.45522	12458	.275838E-3
0.999724161	3.45451	60000	.999724
.000275839	-3.45451	60000	.275837E-3
0.999724161	3.45449	64959	.999724
.000275839	-3.45449	64959	.275843E-3
0.9998	1591.55	1	.999800
.0002	-1591.55	1	.200000E-3
0.9998	7.07392	6	.999800
.0002	-7.07392	6	.200000E-3
0.9998	5.20224	10	.999800
.0002	-5.20224	10	.200000E-3
0.9998	4.45382	16	.999800
.0002	-4.45382	16	.200002E-3
0.9998	3.75022	60	.999800
.0002	-3.75022	60	.199997E-3
0.9998	3.75022	60	.999800
.0002	-3.75022	60	.199997E-3
0.9998	3.66358	100	.999800
.0002	-3.66358	100	.199999E-3
0.9998	3.64898	113	.999800
.0002	-3.64898	113	.200002E-3
0.9998	3.56015	600	.999800
.0002	-3.56015	600	.199997E-3
0.9998	3.55995	606	.999800
.0002	-3.55995	606	.199997E-3
0.9998	3.55210	1000	.999800
.0002	-3.55210	1000	.199997E-3
0.9998	3.54706	1719	.999800
.0002	-3.54706	1719	.200002E-3
0.9998	3.54208	6000	.999800
.0002	-3.54208	6000	.200001E-3
0.9998	3.54183	6850	.999800
.0002	-3.54183	6850	.200002E-3
0.9998	3.54128	10000	.999800
.0002	-3.54128	10000	.200001E-3
0.9998	3.54069	19729	.999800
.0002	-3.54069	19729	.200001E-3
0.9998	3.54028	60000	.999800
.0002	-3.54028	60000	.200003E-3
0.9998	3.54026	66584	.999800
.0002	-3.54026	66584	.200003E-3
0.999841813	2012.24	1	.999842
.000158187	-2012.24	1	.158187E-3
0.999841813	7.38455	6	.999842
.000158187	-7.38455	6	.158187E-3
0.999841813	5.36588	10	.999842
.000158187	-5.36588	10	.158187E-3
0.999841813	4.38780	19	.999842
.000158187	-4.38780	19	.158189E-3
0.999841813	3.82257	60	.999842
.000158187	-3.82257	60	.158185E-3
0.999841813	3.81150	63	.999842
.000158187	-3.81150	63	.158189E-3
0.999841813	3.73134	100	.999842
.000158187	-3.73134	100	.158188E-3
0.999841813	3.68326	157	.999842
.000158187	-3.68326	157	.158185E-3
0.999841813	3.62259	600	.999842
.000158187	-3.62259	600	.158184E-3
0.999841813	3.62054	664	.999842
.000158187	-3.62054	664	.158190E-3
0.999841813	3.61413	1000	.999842
.000158187	-3.61413	1000	.158186E-3
0.999841813	3.60795	1957	.999842
.000158187	-3.60795	1957	.158186E-3
0.999841813	3.60361	6000	.999842
.000158187	-3.60361	6000	.158186E-3
0.999841813	3.60333	6927	.999842
.000158187	-3.60333	6927	.158185E-3
0.999841813	3.60277	10000	.999842
.000158187	-3.60277	10000	.158186E-3
0.999841813	3.60239	14350	.999842
.000158187	-3.60239	14350	.158185E-3
0.999841813	3.60172	60000	.999842
.000158187	-3.60172	60000	.158187E-3
0.999841813	3.60170	65872	.999842
.000158187	-3.60170	65872	.158188E-3
0.9999	3183.10	1	.999900
.0001	-3183.10	1	.100000E-3
0.9999	8.02479	6	.999900
.0001	-8.02479	6	.100000E-3
0.9999	5.69382	10	.999900
.0001	-5.69382	10	.100000E-3
0.9999	4.64801	18	.999900
.0001	-4.64801	18	.100001E-3
0.9999	3.96209	60	.999900
.0001	-3.96209	60	.999998E-4
0.9999	3.94609	64	.999900
.0001	-3.94609	64	.100000E-3
0.9999	3.86160	100	.999900
.0001	-3.86160	100	.999999E-4
0.9999	3.82871	129	.999900
.0001	-3.82871	129	.100001E-3
0.9999	3.74213	600	.999900
.0001	-3.74213	600	.999985E-4
0.9999	3.73927	684	.999900
.0001	-3.73927	684	.100002E-3
0.9999	3.73285	1000	.999900
.0001	-3.73285	1000	.100001E-3
0.9999	3.72740	1649	.999900
.0001	-3.72740	1649	.999982E-4
0.9999	3.72132	6000	.999900
.0001	-3.72132	6000	.999984E-4
0.9999	3.72102	6898	.999900
.0001	-3.72102	6898	.999986E-4
0.9999	3.72040	10000	.999900
.0001	-3.72040	10000	.999984E-4
0.9999	3.71988	15946	.999900
.0001	-3.71988	15946	.100001E-3
0.9999	3.71925	60000	.999900
.0001	-3.71925	60000	.999985E-4
0.9999	3.71923	63893	.999900
.0001	-3.71923	63893	.100001E-3
0.9999061078	3390.16	1	.999906
.0000938922	-3390.16	1	.938923E-4
0.9999061078	8.11634	6	.999906
.0000938922	-8.11634	6	.938919E-4
0.9999061078	5.73975	10	.999906
.0000938922	-5.73975	10	.938916E-4
0.9999061078	5.01900	14	.999906
.0000938922	-5.01900	14	.938927E-4
0.9999061078	3.98107	60	.999906
.0000938922	-3.98107	60	.938931E-4
0.9999061078	3.97681	61	.999906
.0000938922	-3.97681	61	.938923E-4
0.9999061078	3.87928	100	.999906
.0000938922	-3.87928	100	.938921E-4
0.9999061078	3.86334	112	.999906
.0000938922	-3.86334	112	.938933E-4
0.9999061078	3.75830	600	.999906
.0000938922	-3.75830	600	.938929E-4
0.9999061078	3.75663	646	.999906
.0000938922	-3.75663	646	.938913E-4
0.9999061078	3.74891	1000	.999906
.0000938922	-3.74891	1000	.938932E-4
0.9999061078	3.74317	1692	.999906
.0000938922	-3.74317	1692	.938935E-4
0.9999061078	3.73723	6000	.999906
.0000938922	-3.73723	6000	.938941E-4
0.9999061078	3.73690	6992	.999906
.0000938922	-3.73690	6992	.938939E-4
0.9999061078	3.73630	10000	.999906
.0000938922	-3.73630	10000	.938935E-4
0.9999061078	3.73572	17259	.999906
.0000938922	-3.73572	17259	.938908E-4
0.9999061078	3.73514	60000	.999906
.0000938922	-3.73514	60000	.938922E-4
0.9999061078	3.73511	69802	.999906
.0000938922	-3.73511	69802	.938912E-4
0.99991	3536.78	1	.999910
.00009	-3536.78	1	.899999E-4
0.99991	8.17833	6	.999910
.00009	-8.17833	6	.900001E-4
0.99991	5.77072	10	.999910
.00009	-5.77072	10	.899996E-4
0.99991	4.84263	16	.999910
.00009	-4.84263	16	.900007E-4
0.99991	3.99380	60	.999910
.00009	-3.99380	60	.900004E-4
0.99991	3.96653	67	.999910
.00009	-3.96653	67	.900010E-4
0.99991	3.89113	100	.999910
.00009	-3.89113	100	.899994E-4
0.99991	3.85084	137	.999910
.00009	-3.85084	137	.899992E-4
0.99991	3.76914	600	.999910
.00009	-3.76914	600	.899985E-4
0.99991	3.76882	608	.999910
.00009	-3.76882	608	.900012E-4
0.99991	3.75967	1000	.999910
.00009	-3.75967	1000	.899997E-4
0.99991	3.75902	1048	.999910
.00009	-3.75902	1048	.900001E-4
0.99991	3.74790	6000	.999910
.00009	-3.74790	6000	.899984E-4
0.99991	3.74788	6027	.999910
.00009	-3.74788	6027	.900018E-4
0.99991	3.74696	10000	.999910
.00009	-3.74696	10000	.899987E-4
0.99991	3.74646	15521	.999910
.00009	-3.74646	15521	.899984E-4
0.99991	3.74578	60000	.999910
.00009	-3.74578	60000	.900011E-4
0.99991	3.74575	69862	.999910
.00009	-3.74575	69862	.900000E-4
0.9999164438	3809.53	1	.999916
.0000835562	-3809.53	1	.835562E-4
0.9999164438	8.28810	6	.999916
.0000835562	-8.28810	6	.835561E-4
0.9999164438	5.82530	10	.999916
.0000835562	-5.82530	10	.835561E-4
0.9999164438	5.21353	13	.999916
.0000835562	-5.21353	13	.835561E-4
0.9999164438	4.01609	60	.999916
.0000835562	-4.01609	60	.835557E-4
0.9999164438	3.98494	68	.999916
.0000835562	-3.98494	68	.835556E-4
0.9999164438	3.91186	100	.999916
.0000835562	-3.91186	100	.835572E-4
0.9999164438	3.89435	113	.999916
.0000835562	-3.89435	113	.835573E-4
0.9999164438	3.78808	600	.999916
.0000835562	-3.78808	600	.835568E-4
0.9999164438	3.78665	638	.999916
.0000835562	-3.78665	638	.835560E-4
0.9999164438	3.77848	1000	.999916
.0000835562	-3.77848	1000	.835559E-4
0.9999164438	3.77215	1789	.999916
.0000835562	-3.77215	1789	.835563E-4
0.9999164438	3.76654	6000	.999916
.0000835562	-3.76654	6000	.835551E-4
0.9999164438	3.76650	6094	.999916
.0000835562	-3.76650	6094	.835562E-4
0.9999164438	3.76558	10000	.999916
.0000835562	-3.76558	10000	.835576E-4
0.9999164438	3.76497	17564	.999916
.0000835562	-3.76497	17564	.835559E-4
0.9999164438	3.76439	60000	.999916
.0000835562	-3.76439	60000	.835576E-4
0.9999164438	3.76438	65217	.999916
.0000835562	-3.76438	65217	.835546E-4
0.99992	3978.87	1	.999920
.00008	-3978.87	1	.800001E-4
0.99992	8.35295	6	.999920
.00008	-8.35295	6	.799998E-4
0.99992	5.85739	10	.999920
.00008	-5.85739	10	.800005E-4
0.99992	5.60131	11	.999920
.00008	-5.60131	11	.799996E-4
0.99992	4.02911	60	.999920
.00008	-4.02911	60	.799996E-4
0.99992	3.99768	68	.999920
.00008	-3.99768	68	.800007E-4
0.99992	3.92397	100	.999920
.00008	-3.92397	100	.800001E-4
0.99992	3.85013	195	.999920
.00008	-3.85013	195	.799993E-4
0.99992	3.79914	600	.999920
.00008	-3.79914	600	.799990E-4
0.99992	3.79773	637	.999920
.00008	-3.79773	637	.799994E-4
0.99992	3.78945	1000	.999920
.00008	-3.78945	1000	.800013E-4
0.99992	3.78454	1514	.999920
.00008	-3.78454	1514	.800000E-4
0.99992	3.77741	6000	.999920
.00008	-3.77741	6000	.800007E-4
0.99992	3.77737	6120	.999920
.00008	-3.77737	6120	.799984E-4
0.99992	3.77645	10000	.999920
.00008	-3.77645	10000	.800006E-4
0.99992	3.77578	18691	.999920
.00008	-3.77578	18691	.800007E-4
0.99992	3.77525	60000	.999920
.00008	-3.77525	60000	.800006E-4
0.99992	3.77522	68417	.999920
.00008	-3.77522	68417	.800007E-4
0.9999279978	4420.84	1	.999928
.0000720022	-4420.84	1	.720021E-4
0.9999279978	8.51181	6	.999928
.0000720022	-8.51181	6	.720024E-4
0.9999279978	5.93556	10	.999928
.0000720022	-5.93556	10	.720019E-4
0.9999279978	4.95263	16	.999928
.0000720022	-4.95263	16	.720029E-4
0.9999279978	4.06056	60	.999928
.0000720022	-4.06056	60	.720015E-4
0.9999279978	4.02500	69	.999928
.0000720022	-4.02500	69	.720015E-4
0.9999279978	3.95319	100	.999928
.0000720022	-3.95319	100	.720030E-4
0.9999279978	3.87743	196	.999928
.0000720022	-3.87743	196	.720011E-4
0.9999279978	3.82580	600	.999928
.0000720022	-3.82580	600	.720014E-4
0.9999279978	3.82389	650	.999928
.0000720022	-3.82389	650	.720033E-4
0.9999279978	3.81592	1000	.999928
.0000720022	-3.81592	1000	.720020E-4
0.9999279978	3.81407	1143	.999928
.0000720022	-3.81407	1143	.720023E-4
0.9999279978	3.80364	6000	.999928
.0000720022	-3.80364	6000	.720009E-4
0.9999279978	3.80352	6297	.999928
.0000720022	-3.80352	6297	.720022E-4
0.9999279978	3.80266	10000	.999928
.0000720022	-3.80266	10000	.720010E-4
0.9999279978	3.80215	15293	.999928
.0000720022	-3.80215	15293	.720015E-4
0.9999279978	3.80143	60000	.999928
.0000720022	-3.80143	60000	.720028E-4
0.9999279978	3.80140	68692	.999928
.0000720022	-3.80140	68692	.720025E-4
0.99993	4547.28	1	.999930
.00007	-4547.28	1	.700001E-4
0.99993	8.55479	6	.999930
.00007	-8.55479	6	.700000E-4
0.99993	5.95659	10	.999930
.00007	-5.95659	10	.700000E-4
0.99993	4.88324	17	.999930
.00007	-4.88324	17	.700003E-4
0.99993	4.06896	60	.999930
.00007	-4.06896	60	.699995E-4
0.99993	4.04027	67	.999930
.00007	-4.04027	67	.700002E-4
0.99993	3.96099	100	.999930
.00007	-3.96099	100	.700011E-4
0.99993	3.92571	129	.999930
.00007	-3.92571	129	.699991E-4
0.99993	3.83291	600	.999930
.00007	-3.83291	600	.699996E-4
0.99993	3.83072	658	.999930
.00007	-3.83072	658	.699990E-4
0.99993	3.82298	1000	.999930
.00007	-3.82298	1000	.699995E-4
0.99993	3.82179	1087	.999930
.00007	-3.82179	1087	.699997E-4
0.99993	3.81063	6000	.999930
.00007	-3.81063	6000	.699998E-4
0.99993	3.81048	6390	.999930
.00007	-3.81048	6390	.699998E-4
0.99993	3.80964	10000	.999930
.00007	-3.80964	10000	.700013E-4
0.99993	3.80948	11217	.999930
.00007	-3.80948	11217	.700012E-4
0.99993	3.80841	60000	.999930
.00007	-3.80841	60000	.700012E-4
0.99993	3.80839	65969	.999930
.00007	-3.80839	65969	.700006E-4
0.999931731	4662.58	1	.999932
.000068269	-4662.58	1	.682690E-4
0.999931731	8.59311	6	.999932
.000068269	-8.59311	6	.682689E-4
0.999931731	5.97530	10	.999932
.000068269	-5.97530	10	.682692E-4
0.999931731	5.07673	15	.999932
.000068269	-5.07673	15	.682694E-4
0.999931731	4.07641	60	.999932
.000068269	-4.07641	60	.682689E-4
0.999931731	4.06323	63	.999932
.000068269	-4.06323	63	.682679E-4
0.999931731	3.96791	100	.999932
.000068269	-3.96791	100	.682696E-4
0.999931731	3.89384	190	.999932
.000068269	-3.89384	190	.682694E-4
0.999931731	3.83921	600	.999932
.000068269	-3.83921	600	.682699E-4
0.999931731	3.83670	667	.999932
.000068269	-3.83670	667	.682699E-4
0.999931731	3.82924	1000	.999932
.000068269	-3.82924	1000	.682680E-4
0.999931731	3.82268	1785	.999932
.000068269	-3.82268	1785	.682690E-4
0.999931731	3.81683	6000	.999932
.000068269	-3.81683	6000	.682689E-4
0.999931731	3.81650	6926	.999932
.000068269	-3.81650	6926	.682687E-4
0.999931731	3.81584	10000	.999932
.000068269	-3.81584	10000	.682691E-4
0.999931731	3.81519	17881	.999932
.000068269	-3.81519	17881	.682680E-4
0.999931731	3.81460	60000	.999932
.000068269	-3.81460	60000	.682701E-4
0.999931731	3.81459	63656	.999932
.000068269	-3.81459	63656	.682690E-4
0.99994	5305.16	1	.999940
.00006	-5305.16	1	.600001E-4
0.99994	8.79306	6	.999940
.00006	-8.79306	6	.599999E-4
0.99994	6.07236	10	.999940
.00006	-6.07236	10	.599996E-4
0.99994	5.14383	15	.999940
.00006	-5.14383	15	.600003E-4
0.99994	4.11473	60	.999940
.00006	-4.11473	60	.600003E-4
0.99994	4.10121	63	.999940
.00006	-4.10121	63	.599994E-4
0.99994	4.00347	100	.999940
.00006	-4.00347	100	.599990E-4
0.99994	3.93365	177	.999940
.00006	-3.93365	177	.599999E-4
0.99994	3.87158	600	.999940
.00006	-3.87158	600	.600009E-4
0.99994	3.86877	674	.999940
.00006	-3.86877	674	.600010E-4
0.99994	3.86136	1000	.999940
.00006	-3.86136	1000	.600012E-4
0.99994	3.85547	1628	.999940
.00006	-3.85547	1628	.600009E-4
0.99994	3.84866	6000	.999940
.00006	-3.84866	6000	.599996E-4
0.99994	3.84856	6247	.999940
.00006	-3.84856	6247	.599996E-4
0.99994	3.84765	10000	.999940
.00006	-3.84765	10000	.599988E-4
0.99994	3.84696	18141	.999940
.00006	-3.84696	18141	.600008E-4
0.99994	3.84638	60000	.999940
.00006	-3.84638	60000	.599998E-4
0.99994	3.84638	60155	.999940
.00006	-3.84638	60155	.599997E-4
0.9999458411	5877.33	1	.999946
.0000541589	-5877.33	1	.541589E-4
0.9999458411	8.95456	6	.999946
.0000541589	-8.95456	6	.541588E-4
0.9999458411	6.15003	10	.999946
.0000541589	-6.15003	10	.541589E-4
0.9999458411	5.31926	14	.999946
.0000541589	-5.31926	14	.541592E-4
0.9999458411	4.14501	60	.999946
.0000541589	-4.14501	60	.541595E-4
0.9999458411	4.12692	64	.999946
.0000541589	-4.12692	64	.541590E-4
0.9999458411	4.03153	100	.999946
.0000541589	-4.03153	100	.541587E-4
0.9999458411	3.97752	149	.999946
.0000541589	-3.97752	149	.541588E-4
0.9999458411	3.89710	600	.999946
.0000541589	-3.89710	600	.541590E-4
0.9999458411	3.89578	632	.999946
.0000541589	-3.89578	632	.541589E-4
0.9999458411	3.88669	1000	.999946
.0000541589	-3.88669	1000	.541585E-4
0.9999458411	3.88358	1249	.999946
.0000541589	-3.88358	1249	.541598E-4
0.9999458411	3.87374	6000	.999946
.0000541589	-3.87374	6000	.541593E-4
0.9999458411	3.87356	6446	.999946
.0000541589	-3.87356	6446	.541596E-4
0.9999458411	3.87271	10000	.999946
.0000541589	-3.87271	10000	.541588E-4
0.9999458411	3.87227	13911	.999946
.0000541589	-3.87227	13911	.541599E-4
0.9999458411	3.87142	60000	.999946
.0000541589	-3.87142	60000	.541589E-4
0.9999458411	3.87139	69144	.999946
.0000541589	-3.87139	69144	.541579E-4
0.99995	6366.20	1	.999950
.00005	-6366.20	1	.500000E-4
0.99995	9.08235	6	.999950
.00005	-9.08235	6	.499999E-4
0.99995	6.21105	10	.999950
.00005	-6.21105	10	.500001E-4
0.99995	4.96571	18	.999950
.00005	-4.96571	18	.499996E-4
0.99995	4.16857	60	.999950
.00005	-4.16857	60	.499992E-4
0.99995	4.14597	65	.999950
.00005	-4.14597	65	.500000E-4
0.99995	4.05334	100	.999950
.00005	-4.05334	100	.499994E-4
0.99995	4.02539	120	.999950
.00005	-4.02539	120	.500000E-4
0.99995	3.91691	600	.999950
.00005	-3.91691	600	.499996E-4
0.99995	3.91342	691	.999950
.00005	-3.91342	691	.500009E-4
0.99995	3.90634	1000	.999950
.00005	-3.90634	1000	.500008E-4
0.99995	3.90382	1190	.999950
.00005	-3.90382	1190	.500002E-4
0.99995	3.89321	6000	.999950
.00005	-3.89321	6000	.499999E-4
0.99995	3.89313	6178	.999950
.00005	-3.89313	6178	.500008E-4
0.99995	3.89216	10000	.999950
.00005	-3.89216	10000	.500004E-4
0.99995	3.89149	17528	.999950
.00005	-3.89149	17528	.499995E-4
0.99995	3.89085	60000	.999950
.00005	-3.89085	60000	.500007E-4
0.99995	3.89082	68595	.999950
.00005	-3.89082	68595	.500001E-4
0.999955365	7131.40	1	.999955
.000044635	-7131.40	1	.446350E-4
0.999955365	9.26665	6	.999955
.000044635	-9.26665	6	.446350E-4
0.999955365	6.29839	10	.999955
.000044635	-6.29839	10	.446350E-4
0.999955365	5.01813	18	.999955
.000044635	-5.01813	18	.446353E-4
0.999955365	4.20192	60	.999955
.000044635	-4.20192	60	.446346E-4
0.999955365	4.16669	68	.999955
.000044635	-4.16669	68	.446351E-4
0.999955365	4.08419	100	.999955
.000044635	-4.08419	100	.446352E-4
0.999955365	4.00306	192	.999955
.000044635	-4.00306	192	.446358E-4
0.999955365	3.94490	600	.999955
.000044635	-3.94490	600	.446352E-4
0.999955365	3.94341	635	.999955
.000044635	-3.94341	635	.446354E-4
0.999955365	3.93412	1000	.999955
.000044635	-3.93412	1000	.446349E-4
0.999955365	3.92628	1949	.999955
.000044635	-3.92628	1949	.446346E-4
0.999955365	3.92072	6000	.999955
.000044635	-3.92072	6000	.446343E-4
0.999955365	3.92057	6338	.999955
.000044635	-3.92057	6338	.446357E-4
0.999955365	3.91965	10000	.999955
.000044635	-3.91965	10000	.446345E-4
0.999955365	3.91899	16871	.999955
.000044635	-3.91899	16871	.446359E-4
0.999955365	3.91831	60000	.999955
.000044635	-3.91831	60000	.446354E-4
0.999955365	3.91828	68549	.999955
.000044635	-3.91828	68549	.446348E-4
0.99996	7957.75	1	.999960
.00004	-7957.75	1	.400000E-4
0.99996	9.44781	6	.999960
.00004	-9.44781	6	.400001E-4
0.99996	6.38349	10	.999960
.00004	-6.38349	10	.400000E-4
0.99996	5.48749	14	.999960
.00004	-5.48749	14	.400003E-4
0.99996	4.23402	60	.999960
.00004	-4.23402	60	.399999E-4
0.99996	4.20618	66	.999960
.00004	-4.20618	66	.400005E-4
0.99996	4.11386	100	.999960
.00004	-4.11386	100	.399998E-4
0.99996	4.08007	124	.999960
.00004	-4.08007	124	.400007E-4
0.99996	3.97178	600	.999960
.00004	-3.97178	600	.400002E-4
0.99996	3.97160	604	.999960
.00004	-3.97160	604	.399998E-4
0.99996	3.96079	1000	.999960
.00004	-3.96079	1000	.399997E-4
0.99996	3.95614	1394	.999960
.00004	-3.95614	1394	.400007E-4
0.99996	3.94712	6000	.999960
.00004	-3.94712	6000	.400005E-4
0.99996	3.94687	6624	.999960
.00004	-3.94687	6624	.399994E-4
0.99996	3.94603	10000	.999960
.00004	-3.94603	10000	.400006E-4
0.99996	3.94555	14225	.999960
.00004	-3.94555	14225	.399997E-4
0.99996	3.94467	60000	.999960
.00004	-3.94467	60000	.400004E-4
0.99996	3.94464	67639	.999960
.00004	-3.94464	67639	.400003E-4
0.9999602085	7999.44	1	.999960
.0000397915	-7999.44	1	.397915E-4
0.9999602085	9.45653	6	.999960
.0000397915	-9.45653	6	.397915E-4
0.9999602085	6.38757	10	.999960
.0000397915	-6.38757	10	.397913E-4
0.9999602085	6.38757	10	.999960
.0000397915	-6.38757	10	.397913E-4
0.9999602085	4.23555	60	.999960
.0000397915	-4.23555	60	.397910E-4
0.9999602085	4.21195	65	.999960
.0000397915	-4.21195	65	.397915E-4
0.9999602085	4.11527	100	.999960
.0000397915	-4.11527	100	.397914E-4
0.9999602085	4.06465	141	.999960
.0000397915	-4.06465	141	.397911E-4
0.9999602085	3.97306	600	.999960
.0000397915	-3.97306	600	.397913E-4
0.9999602085	3.97306	600	.999960
.0000397915	-3.97306	600	.397913E-4
0.9999602085	3.96206	1000	.999960
.0000397915	-3.96206	1000	.397908E-4
0.9999602085	3.95617	1558	.999960
.0000397915	-3.95617	1558	.397910E-4
0.9999602085	3.94838	6000	.999960
.0000397915	-3.94838	6000	.397912E-4
0.9999602085	3.94800	6969	.999960
.0000397915	-3.94800	6969	.397913E-4
0.9999602085	3.94729	10000	.999960
.0000397915	-3.94729	10000	.397911E-4
0.9999602085	3.94652	18901	.999960
.0000397915	-3.94652	18901	.397910E-4
0.9999602085	3.94592	60000	.999960
.0000397915	-3.94592	60000	.397923E-4
0.9999602085	3.94589	68365	.999960
.0000397915	-3.94589	68365	.397917E-4
0.99997	10610.3	1	.999970
.00003	-10610.3	1	.300001E-4
0.99997	9.93830	6	.999970
.00003	-9.93830	6	.299999E-4
0.99997	6.61032	10	.999970
.00003	-6.61032	10	.300000E-4
0.99997	5.29007	17	.999970
.00003	-5.29007	17	.299998E-4
0.99997	4.31774	60	.999970
.00003	-4.31774	60	.299995E-4
0.99997	4.27572	69	.999970
.00003	-4.27572	69	.300001E-4
0.99997	4.19108	100	.999970
.00003	-4.19108	100	.300003E-4
0.99997	4.11301	175	.999970
.00003	-4.11301	175	.300004E-4
0.99997	4.04159	600	.999970
.00003	-4.04159	600	.299998E-4
0.99997	4.03792	687	.999970
.00003	-4.03792	687	.300005E-4
0.99997	4.03003	1000	.999970
.00003	-4.03003	1000	.300004E-4
0.99997	4.02234	1805	.999970
.00003	-4.02234	1805	.299995E-4
0.99997	4.01567	6000	.999970
.00003	-4.01567	6000	.300003E-4
0.99997	4.01532	6849	.999970
.00003	-4.01532	6849	.299997E-4
0.99997	4.01453	10000	.999970
.00003	-4.01453	10000	.299996E-4
0.99997	4.01407	13602	.999970
.00003	-4.01407	13602	.300003E-4
0.99997	4.01310	60000	.999970
.00003	-4.01310	60000	.299996E-4
0.99997	4.01309	61116	.999970
.00003	-4.01309	61116	.300002E-4
0.9999787357	14969.2	1	.999979
.0000212643	-14969.2	1	.212643E-4
0.9999787357	10.5551	6	.999979
.0000212643	-10.5551	6	.212648E-4
0.9999787357	6.88864	10	.999979
.0000212643	-6.88864	10	.212644E-4
0.9999787357	6.52948	11	.999979
.0000212643	-6.52948	11	.212642E-4
0.9999787357	4.41696	60	.999979
.0000212643	-4.41696	60	.212643E-4
0.9999787357	4.40584	62	.999979
.0000212643	-4.40584	62	.212640E-4
0.9999787357	4.28234	100	.999979
.0000212643	-4.28234	100	.212645E-4
0.9999787357	4.21355	155	.999979
.0000212643	-4.21355	155	.212639E-4
0.9999787357	4.12378	600	.999979
.0000212643	-4.12378	600	.212640E-4
0.9999787357	4.12049	672	.999979
.0000212643	-4.12049	672	.212644E-4
